順位,単語1,単語2,共起回数
1,国際,社会,24
2,国際,秩序,12
3,保障,安全,11
4,国際,情勢,9
5,国際,日本,8
6,国際,基づく,7
7,基づく,秩序,7
8,外交,日本,6
9,国際,安定,6
10,含む,国際,6
11,国際,課題,6
12,国際,認識,5
13,外交,展望,5
14,展望,日本,5
15,情勢,認識,5
16,国際,支配,5
17,国際,発展,5
18,依存,相互,5
19,国際,経済,5
20,途上,開発,5
21,国際,外交,4
22,国際,展望,4
23,情勢,日本,4
24,日本,認識,4
25,安全,経済,4
26,国際,自由,4
27,価値,国際,4
28,国際,平和,4
29,国際,環境,4
30,国際,歴史,4
31,依存,経済,4
32,世界,国際,4
33,国際,関係,4
34,社会,経済,4
35,ウクライナ,ロシア,4
36,技術,経済,4
37,外交,情勢,3
38,外交,認識,3
39,展望,情勢,3
40,展望,認識,3
41,保障,経済,3
42,含む,安全,3
43,支配,自由,3
44,安定,平和,3
45,国家,国際,3
46,歴史,社会,3
47,冷戦,国際,3
48,冷戦,安定,3
49,含む,日本,3
50,経済,自由,3
51,秩序,経済,3
52,発展,重要,3
53,可能,国際,3
54,国際,情報,3
55,グローバル,依存,3
56,グローバル,国家,3
57,グローバル,環境,3
58,グローバル,相互,3
59,グローバル,経済,3
60,国際,増す,3
61,国際,途上,3
62,国際,開発,3
63,社会,課題,3
64,社会,秩序,3
65,情勢,社会,3
66,国連,安全,3
67,基づく,支配,3
68,世界,地域,3
69,保障,課題,3
70,安全,課題,3
71,安定,重要,3
72,基づく,自由,3
73,地域,安定,3
74,価値,社会,3
75,国際,安全,3
76,安全,平和,3
77,発展,社会,3
78,発展,経済,3
79,保障,日本,2
80,外交,安全,2
81,安全,日本,2
82,日本,経済,2
83,外交,求める,2
84,安全,繁栄,2
85,主義,国際,2
86,主義,情勢,2
87,主義,日本,2
88,主義,自由,2
89,日本,自由,2
90,価値,秩序,2
91,国際,強化,2
92,基づく,強化,2
93,強化,日本,2
94,強化,秩序,2
95,国家,社会,2
96,安定,強化,2
97,安定,歴史,2
98,国際,有する,2
99,主義,経済,2
100,依存,関係,2
101,含む,経済,2
102,経済,関係,2
103,基づく,経済,2
104,国際,重要,2
105,技術,発展,2
106,可能,情報,2
107,グローバル,変化,2
108,依存,国家,2
109,保障,環境,2
110,国家,環境,2
111,国家,相互,2
112,国家,経済,2
113,安全,環境,2
114,環境,経済,2
115,相互,経済,2
116,含む,社会,2
117,増す,安定,2
118,増す,社会,2
119,安定,社会,2
120,社会,途上,2
121,経済,途上,2
122,グローバル,国際,2
123,問題,国際,2
124,問題,環境,2
125,社会,認識,2
126,発展,途上,2
127,発展,開発,2
128,世界,冷戦,2
129,冷戦,平和,2
130,国連,国際,2
131,国連,繁栄,2
132,グローバル,含む,2
133,グローバル,社会,2
134,支配,社会,2
135,ウクライナ,国際,2
136,ロシア,国際,2
137,支配,秩序,2
138,世界,日本,2
139,世界,重要,2
140,増す,見る,2
141,日本,社会,2
142,保障,強化,2
143,安全,強化,2
144,ロシア,社会,2
145,秩序,自由,2
146,世界,安全,2
147,世界,歴史,2
148,可能,社会,2
149,安定,課題,2
150,可能,開発,2
151,含む,開発,2
152,国連,平和,2
153,世界,平和,2
154,冷戦,発展,2
155,情勢,経済,2
156,世界,社会,2
157,平和,発展,2
158,平和,社会,2
159,ウクライナ,情勢,2
160,ウクライナ,社会,2
161,依存,社会,2
162,相互,社会,2
163,情報,経済,2
164,含む,情報,2
165,情勢,環境,2
166,保障,外交,1
167,外交,経済,1
168,含む,外交,1
169,含む,求める,1
170,含む,繁栄,1
171,外交,繁栄,1
172,安全,求める,1
173,求める,繁栄,1
174,主義,支配,1
175,主義,認識,1
176,情勢,支配,1
177,情勢,自由,1
178,支配,日本,1
179,支配,認識,1
180,自由,認識,1
181,価値,基づく,1
182,価値,外交,1
183,価値,展望,1
184,価値,強化,1
185,価値,日本,1
186,基づく,外交,1
187,基づく,展望,1
188,基づく,日本,1
189,外交,強化,1
190,外交,秩序,1
191,展望,強化,1
192,展望,秩序,1
193,日本,秩序,1
194,安定,環境,1
195,平和,環境,1
196,国家,歴史,1
197,冷戦,基づく,1
198,冷戦,強化,1
199,冷戦,歴史,1
200,冷戦,秩序,1
201,基づく,安定,1
202,基づく,歴史,1
203,安定,秩序,1
204,強化,歴史,1
205,歴史,秩序,1
206,世界,拡大,1
207,有する,秩序,1
208,主義,依存,1
209,主義,含む,1
210,主義,政治,1
211,主義,関係,1
212,依存,含む,1
213,依存,政治,1
214,依存,日本,1
215,依存,自由,1
216,含む,政治,1
217,含む,自由,1
218,含む,関係,1
219,政治,日本,1
220,政治,経済,1
221,政治,自由,1
222,政治,関係,1
223,日本,関係,1
224,自由,関係,1
225,価値,支配,1
226,世界,基づく,1
227,世界,秩序,1
228,基づく,重要,1
229,秩序,重要,1
230,経済,重要,1
231,国際,技術,1
232,技術,重要,1
233,技術,関係,1
234,発展,関係,1
235,重要,関係,1
236,グローバル,保障,1
237,グローバル,安全,1
238,依存,保障,1
239,依存,変化,1
240,依存,安全,1
241,依存,環境,1
242,保障,国家,1
243,保障,変化,1
244,保障,相互,1
245,国家,変化,1
246,国家,安全,1
247,変化,安全,1
248,変化,環境,1
249,変化,相互,1
250,変化,経済,1
251,安全,相互,1
252,環境,相互,1
253,含む,増す,1
254,含む,安定,1
255,含む,途上,1
256,増す,経済,1
257,増す,途上,1
258,安定,経済,1
259,安定,途上,1
260,グローバル,問題,1
261,問題,国家,1
262,課題,途上,1
263,課題,開発,1
264,求める,課題,1
265,情報,社会,1
266,拡大,政治,1
267,拡大,社会,1
268,拡大,認識,1
269,拡大,課題,1
270,政治,社会,1
271,政治,認識,1
272,政治,課題,1
273,認識,課題,1
274,問題,社会,1
275,問題,秩序,1
276,途上,重要,1
277,重要,開発,1
278,国連,秩序,1
279,国際,繁栄,1
280,秩序,繁栄,1
281,情勢,秩序,1
282,ウクライナ,問題,1
283,保障,国連,1
284,ウクライナ,平和,1
285,ウクライナ,関係,1
286,ロシア,関係,1
287,基づく,情報,1
288,情報,支配,1
289,情報,秩序,1
290,世界,含む,1
291,含む,地域,1
292,国際,地域,1
293,地域,日本,1
294,問題,安定,1
295,問題,繁栄,1
296,安定,繁栄,1
297,強化,課題,1
298,日本,課題,1
299,含む,環境,1
300,グローバル,安定,1
301,グローバル,平和,1
302,グローバル,重要,1
303,平和,重要,1
304,ロシア,認識,1
305,世界,保障,1
306,世界,安定,1
307,世界,見る,1
308,保障,地域,1
309,保障,安定,1
310,保障,歴史,1
311,保障,見る,1
312,保障,重要,1
313,地域,安全,1
314,地域,歴史,1
315,地域,見る,1
316,地域,重要,1
317,安全,安定,1
318,安全,歴史,1
319,安全,見る,1
320,安全,重要,1
321,安定,見る,1
322,歴史,見る,1
323,歴史,重要,1
324,見る,重要,1
325,地域,強化,1
326,可能,国家,1
327,可能,安定,1
328,可能,課題,1
329,国家,安定,1
330,国家,課題,1
331,保障,増す,1
332,増す,安全,1
333,安定,関係,1
334,課題,関係,1
335,認識,重要,1
336,見る,途上,1
337,見る,開発,1
338,含む,国連,1
339,含む,平和,1
340,強化,求める,1
341,地域,平和,1
342,世界,関係,1
343,グローバル,国連,1
344,国連,変化,1
345,冷戦,増す,1
346,冷戦,重要,1
347,増す,発展,1
348,増す,重要,1
349,安定,発展,1
350,主義,価値,1
351,主義,発展,1
352,主義,社会,1
353,主義,秩序,1
354,主義,途上,1
355,主義,開発,1
356,価値,発展,1
357,価値,経済,1
358,価値,途上,1
359,価値,開発,1
360,発展,秩序,1
361,社会,開発,1
362,秩序,途上,1
363,秩序,開発,1
364,経済,開発,1
365,価値,歴史,1
366,外交,見る,1
367,求める,見る,1
368,グローバル,技術,1
369,グローバル,発展,1
370,グローバル,課題,1
371,技術,課題,1
372,発展,課題,1
373,経済,課題,1
374,世界,発展,1
375,世界,経済,1
376,冷戦,安全,1
377,冷戦,社会,1
378,冷戦,経済,1
379,安全,発展,1
380,安全,社会,1
381,平和,経済,1
382,有する,社会,1
383,ウクライナ,依存,1
384,ウクライナ,相互,1
385,依存,国際,1
386,依存,情勢,1
387,国際,相互,1
388,情勢,相互,1
389,拡大,日本,1
390,拡大,有する,1
391,日本,有する,1
392,ウクライナ,技術,1
393,ロシア,技術,1
394,技術,社会,1
395,依存,情報,1
396,情報,関係,1
397,情報,拡大,1
398,グローバル,繁栄,1
399,依存,繁栄,1
400,相互,繁栄,1
401,社会,繁栄,1
402,含む,技術,1
403,可能,含む,1
404,可能,安全,1
405,安全,情報,1
406,安全,開発,1
407,情報,開発,1
408,技術,拡大,1
409,拡大,経済,1
410,保障,技術,1
411,安全,技術,1
412,強化,技術,1
413,強化,経済,1
414,主義,拡大,1
415,依存,強化,1
416,強化,相互,1
417,可能,情勢,1
418,可能,環境,1
419,可能,経済,1
420,可能,見る,1
421,国際,見る,1
422,情勢,見る,1
423,環境,社会,1
424,環境,見る,1
425,社会,見る,1
426,経済,見る,1
427,技術,自由,1
428,ウクライナ,主義,1
429,ロシア,主義,1
430,ロシア,情勢,1
431,保障,国際,1
432,保障,情勢,1
433,安全,情勢,1
434,情勢,課題,1
435,環境,課題,1
436,基づく,社会,1
437,基づく,課題,1
438,支配,課題,1
439,社会,自由,1
440,自由,課題,1
441,求める,秩序,1
442,日本,歴史,1
443,増す,政治,1
444,政治,見る,1
445,平和,繁栄,1
