"順位","単語1","単語2","共起回数"
1,"国際","社会",24
2,"国際","秩序",12
3,"保障","安全",11
4,"国際","情勢",9
5,"国際","日本",8
6,"国際","基づく",6
7,"基づく","秩序",6
8,"国際","安定",6
9,"含む","国際",6
10,"国際","課題",6
11,"国際","認識",5
12,"外交","日本",5
13,"国際","支配",5
14,"国際","発展",5
15,"国際","経済",5
16,"国際","外交",4
17,"情勢","日本",4
18,"情勢","認識",4
19,"日本","認識",4
20,"安全","経済",4
21,"国際","自由",4
22,"価値","国際",4
23,"国際","平和",4
24,"国際","環境",4
25,"依存","経済",4
26,"世界","国際",4
27,"国際","関係",4
28,"社会","経済",4
29,"全体","国際",4
30,"ウクライナ","ロシア",4
31,"地球","課題",4
32,"技術","経済",4
33,"外交","情勢",3
34,"外交","認識",3
35,"保障","経済",3
36,"含む","安全",3
37,"支配","自由",3
38,"安定","平和",3
39,"国家","国際",3
40,"冷戦","国際",3
41,"冷戦","安定",3
42,"含む","日本",3
43,"経済","自由",3
44,"秩序","経済",3
45,"発展","重要",3
46,"可能","国際",3
47,"国際","情報",3
48,"グローバル","依存",3
49,"グローバル","国家",3
50,"グローバル","環境",3
51,"グローバル","経済",3
52,"全体","社会",3
53,"国際","地球",3
54,"られ","求め",3
55,"社会","課題",3
56,"社会","秩序",3
57,"グローバル","サウス",3
58,"中東","国際",3
59,"情勢","社会",3
60,"国連","安全",3
61,"ウクライナ","中東",3
62,"基づく","支配",3
63,"世界","地域",3
64,"保障","課題",3
65,"安全","課題",3
66,"安定","重要",3
67,"基づく","自由",3
68,"地域","安定",3
69,"価値","社会",3
70,"国際","安全",3
71,"安全","平和",3
72,"発展","社会",3
73,"発展","経済",3
74,"保障","日本",2
75,"外交","安全",2
76,"安全","日本",2
77,"日本","経済",2
78,"外交","求め",2
79,"主義","国際",2
80,"主義","情勢",2
81,"主義","日本",2
82,"主義","自由",2
83,"日本","自由",2
84,"価値","秩序",2
85,"国際","強化",2
86,"強化","日本",2
87,"強化","秩序",2
88,"国家","社会",2
89,"安定","強化",2
90,"国際","有する",2
91,"主義","経済",2
92,"依存","関係",2
93,"含む","経済",2
94,"経済","関係",2
95,"基づく","経済",2
96,"国際","重要",2
97,"技術","発展",2
98,"可能","情報",2
99,"グローバル","変化",2
100,"依存","国家",2
101,"保障","環境",2
102,"国家","環境",2
103,"国家","経済",2
104,"安全","環境",2
105,"環境","経済",2
106,"含む","社会",2
107,"安定","社会",2
108,"グローバル","国際",2
109,"問題","国際",2
110,"問題","環境",2
111,"地球","環境",2
112,"社会","認識",2
113,"なっ","重要",2
114,"協力","国際",2
115,"冷戦","平和",2
116,"国連","国際",2
117,"中東","社会",2
118,"グローバル","含む",2
119,"グローバル","社会",2
120,"サウス","含む",2
121,"支配","社会",2
122,"ウクライナ","国際",2
123,"ロシア","中東",2
124,"ロシア","国際",2
125,"支配","秩序",2
126,"世界","日本",2
127,"世界","重要",2
128,"日本","社会",2
129,"保障","強化",2
130,"安全","強化",2
131,"ロシア","社会",2
132,"秩序","自由",2
133,"世界","安全",2
134,"地域","太平洋",2
135,"太平洋","安定",2
136,"可能","社会",2
137,"安定","課題",2
138,"国連","平和",2
139,"世界","平和",2
140,"冷戦","発展",2
141,"困難","国際",2
142,"情勢","経済",2
143,"世界","社会",2
144,"平和","発展",2
145,"平和","社会",2
146,"ウクライナ","情勢",2
147,"ウクライナ","社会",2
148,"中東","情勢",2
149,"依存","社会",2
150,"情報","経済",2
151,"含む","情報",2
152,"情勢","環境",2
153,"保障","外交",1
154,"外交","経済",1
155,"含む","外交",1
156,"含む","求め",1
157,"安全","求め",1
158,"主義","支配",1
159,"主義","認識",1
160,"情勢","支配",1
161,"情勢","自由",1
162,"支配","日本",1
163,"支配","認識",1
164,"自由","認識",1
165,"価値","基づく",1
166,"価値","外交",1
167,"価値","強化",1
168,"価値","日本",1
169,"基づく","外交",1
170,"基づく","強化",1
171,"基づく","日本",1
172,"外交","強化",1
173,"外交","秩序",1
174,"日本","秩序",1
175,"安定","環境",1
176,"平和","環境",1
177,"冷戦","強化",1
178,"冷戦","秩序",1
179,"安定","秩序",1
180,"有する","秩序",1
181,"主義","依存",1
182,"主義","含む",1
183,"主義","関係",1
184,"依存","含む",1
185,"依存","日本",1
186,"依存","自由",1
187,"含む","自由",1
188,"含む","関係",1
189,"日本","関係",1
190,"自由","関係",1
191,"価値","支配",1
192,"世界","基づく",1
193,"世界","秩序",1
194,"基づく","重要",1
195,"秩序","重要",1
196,"経済","重要",1
197,"国際","技術",1
198,"技術","重要",1
199,"技術","関係",1
200,"発展","関係",1
201,"重要","関係",1
202,"グローバル","保障",1
203,"グローバル","安全",1
204,"依存","保障",1
205,"依存","変化",1
206,"依存","安全",1
207,"依存","環境",1
208,"保障","国家",1
209,"保障","変化",1
210,"国家","変化",1
211,"国家","安全",1
212,"変化","安全",1
213,"変化","環境",1
214,"変化","経済",1
215,"含む","安定",1
216,"安定","経済",1
217,"グローバル","全体",1
218,"グローバル","問題",1
219,"グローバル","地球",1
220,"全体","問題",1
221,"全体","国家",1
222,"全体","地球",1
223,"全体","環境",1
224,"問題","国家",1
225,"問題","地球",1
226,"国家","地球",1
227,"られ","課題",1
228,"求め","課題",1
229,"情報","社会",1
230,"拡大","社会",1
231,"拡大","認識",1
232,"拡大","課題",1
233,"認識","課題",1
234,"問題","社会",1
235,"問題","秩序",1
236,"なっ","発展",1
237,"協力","関係",1
238,"国連","秩序",1
239,"全体","情勢",1
240,"全体","秩序",1
241,"情勢","秩序",1
242,"ウクライナ","問題",1
243,"保障","国連",1
244,"サウス","国際",1
245,"サウス","社会",1
246,"ウクライナ","平和",1
247,"ウクライナ","関係",1
248,"ロシア","関係",1
249,"中東","関係",1
250,"基づく","情報",1
251,"情報","支配",1
252,"情報","秩序",1
253,"世界","協力",1
254,"世界","含む",1
255,"協力","含む",1
256,"協力","地域",1
257,"協力","日本",1
258,"含む","地域",1
259,"国際","地域",1
260,"地域","日本",1
261,"なっ","問題",1
262,"なっ","安定",1
263,"問題","安定",1
264,"強化","課題",1
265,"日本","課題",1
266,"サウス","環境",1
267,"含む","環境",1
268,"平和","重要",1
269,"ロシア","認識",1
270,"世界","保障",1
271,"世界","安定",1
272,"保障","地域",1
273,"保障","安定",1
274,"保障","重要",1
275,"地域","安全",1
276,"地域","重要",1
277,"安全","安定",1
278,"安全","重要",1
279,"中東","地域",1
280,"地域","強化",1
281,"太平洋","強化",1
282,"可能","国家",1
283,"可能","安定",1
284,"可能","課題",1
285,"国家","安定",1
286,"国家","課題",1
287,"問題","太平洋",1
288,"太平洋","環境",1
289,"保障","太平洋",1
290,"太平洋","安全",1
291,"安定","関係",1
292,"課題","関係",1
293,"認識","重要",1
294,"含む","国連",1
295,"含む","平和",1
296,"地域","平和",1
297,"世界","関係",1
298,"グローバル","困難",1
299,"グローバル","国連",1
300,"困難","国連",1
301,"困難","変化",1
302,"国連","変化",1
303,"冷戦","重要",1
304,"安定","発展",1
305,"主義","価値",1
306,"主義","発展",1
307,"主義","社会",1
308,"主義","秩序",1
309,"価値","発展",1
310,"価値","経済",1
311,"発展","秩序",1
312,"価値","困難",1
313,"困難","社会",1
314,"協力","変化",1
315,"サウス","られ",1
316,"サウス","外交",1
317,"サウス","求め",1
318,"られ","外交",1
319,"グローバル","技術",1
320,"グローバル","発展",1
321,"グローバル","課題",1
322,"技術","課題",1
323,"発展","課題",1
324,"経済","課題",1
325,"世界","冷戦",1
326,"世界","発展",1
327,"世界","経済",1
328,"冷戦","安全",1
329,"冷戦","社会",1
330,"冷戦","経済",1
331,"安全","発展",1
332,"安全","社会",1
333,"平和","経済",1
334,"有する","社会",1
335,"ウクライナ","依存",1
336,"中東","依存",1
337,"依存","国際",1
338,"依存","情勢",1
339,"拡大","日本",1
340,"拡大","有する",1
341,"日本","有する",1
342,"ウクライナ","技術",1
343,"ロシア","技術",1
344,"技術","社会",1
345,"依存","情報",1
346,"情報","関係",1
347,"情報","拡大",1
348,"なっ","経済",1
349,"含む","技術",1
350,"可能","含む",1
351,"可能","安全",1
352,"安全","情報",1
353,"技術","拡大",1
354,"拡大","経済",1
355,"保障","技術",1
356,"安全","技術",1
357,"強化","技術",1
358,"強化","経済",1
359,"困難","基づく",1
360,"困難","秩序",1
361,"困難","経済",1
362,"困難","自由",1
363,"主義","拡大",1
364,"依存","強化",1
365,"可能","情勢",1
366,"可能","環境",1
367,"可能","経済",1
368,"環境","社会",1
369,"技術","自由",1
370,"協力","重要",1
371,"ウクライナ","主義",1
372,"ウクライナ","困難",1
373,"ロシア","主義",1
374,"ロシア","困難",1
375,"ロシア","情勢",1
376,"中東","主義",1
377,"中東","困難",1
378,"主義","困難",1
379,"困難","情勢",1
380,"保障","国際",1
381,"保障","地球",1
382,"保障","情勢",1
383,"地球","安全",1
384,"地球","情勢",1
385,"安全","情勢",1
386,"情勢","課題",1
387,"環境","課題",1
388,"含む","太平洋",1
389,"国際","太平洋",1
390,"太平洋","情報",1
391,"全体","基づく",1
392,"全体","支配",1
393,"全体","自由",1
394,"全体","課題",1
395,"基づく","社会",1
396,"基づく","課題",1
397,"支配","課題",1
398,"社会","自由",1
399,"自由","課題",1
400,"求め","秩序",1
