順位,単語,出現回数
1,国際,56
2,社会,29
3,経済,20
4,日本,17
5,安全,16
6,含む,15
7,秩序,15
8,課題,15
9,重要,14
10,情勢,13
11,安定,13
12,情報,13
13,グローバル,12
14,保障,11
15,求める,11
16,外交,10
17,世界,10
18,開発,10
19,平和,9
20,技術,9
21,ウクライナ,9
22,認識,8
23,基づく,8
24,環境,8
25,ロシア,8
26,地域,8
27,強化,7
28,拡大,7
29,依存,7
30,関係,7
31,発展,7
32,見る,7
33,変化,6
34,自由,6
35,支配,6
36,国家,6
37,有する,6
38,途上,6
39,サウス,6
40,国連,6
41,展望,5
42,繁栄,5
43,民主,5
44,主義,5
45,価値,5
46,歴史,5
47,冷戦,5
48,政治,5
49,可能,5
50,相互,5
51,増す,5
52,全体,5
53,問題,5
54,地球,5
55,規模,5
56,近年,5
57,協力,5
58,安保理,5
59,中東,5
60,欧州,5
61,太平洋,5
62,抑止,5
63,困難,5
64,一部,4
65,既存,4
66,米国,4
67,挑戦,4
68,ルール,4
69,新興,4
70,協調,4
71,進む,4
72,複雑,4
73,拡散,4
74,国内,4
75,加える,4
76,影響,4
77,対立,4
78,状況,4
79,侵略,4
80,深刻,4
81,分断,4
82,東アジア,4
83,新た,4
84,周辺,4
85,進展,4
86,人類,4
87,直面,4
88,動き,4
89,向ける,4
90,同盟,4
91,システム,4
92,時代,4
93,国民,3
94,生活,3
95,人権,3
96,原則,3
97,維持,3
98,進める,3
99,強い,3
100,実現,3
101,機関,3
102,中核,3
103,もたらす,3
104,気候,3
105,変動,3
106,十分,3
107,対処,3
108,中心,3
109,緊張,3
110,くい,3
111,招く,3
112,解決,3
113,多様,3
114,競争,3
115,存在,3
116,年月,3
117,継続,3
118,理事,3
119,ポスト,3
120,多く,3
121,必要,3
122,公正,3
123,現状,3
124,サイバー,3
125,脅威,3
126,弾道,3
127,中国,3
128,軍事,3
129,共通,3
130,責任,3
131,インド,3
132,対応,3
133,高まる,3
134,連携,3
135,持続,3
136,未来,3
137,科学,3
138,自国,3
139,仮説,3
140,確保,2
141,潮流,2
142,危機,2
143,戦略,2
144,現在,2
145,転換,2
146,急速,2
147,一定,2
148,国力,2
149,姿勢,2
150,先進,2
151,武器,2
152,貿易,2
153,見せる,2
154,裾野,2
155,サプライ,2
156,チェーン,2
157,強靱,2
158,予見,2
159,高める,2
160,パワー,2
161,格差,2
162,保健,2
163,防災,2
164,テロ,2
165,諸国,2
166,受ける,2
167,デジタル,2
168,体制,2
169,不安定,2
170,出る,2
171,自覚,2
172,完全,2
173,分離,2
174,強める,2
175,絡み合う,2
176,常任,2
177,行使,2
178,支える,2
179,根幹,2
180,揺るがす,2
181,努力,2
182,攻撃,2
183,紛争,2
184,生じる,2
185,核兵器,2
186,威嚇,2
187,行う,2
188,本来,2
189,期待,2
190,役割,2
191,使用,2
192,拒否,2
193,ガバナンス,2
194,不満,2
195,傾向,2
196,守る,2
197,つながる,2
198,不可欠,2
199,二つ,2
200,変更,2
201,試み,2
202,そのもの,2
203,顕在,2
204,地理,2
205,ミサイル,2
206,選挙,2
207,始め,2
208,各地,2
209,今後,2
210,おく,2
211,厳しい,2
212,構築,2
213,北朝鮮,2
214,主要,2
215,開く,2
216,観点,2
217,機構,2
218,政策,2
219,青書,2
220,信頼,2
221,グローバ,2
222,同志,2
223,山積,2
224,達成,2
225,金融,2
226,改革,2
227,建設,2
228,管理,2
229,関与,2
230,関心,2
231,利害,2
232,利益,2
233,多国,2
234,ナンス,2
235,越える,2
236,適切,2
237,発達,2
238,市場,2
239,威圧,2
240,成長,2
241,良い,2
242,無視,2
243,操作,2
244,指摘,2
245,リスク,2
246,要請,2
247,確証,2
248,形成,2
249,さらす,2
250,目指す,2
251,国益,1
252,未然,1
253,防ぐ,1
254,海外,1
255,在留,1
256,邦人,1
257,把握,1
258,適応,1
259,動的,1
260,展開,1
261,本章,1
262,取り巻く,1
263,概観,1
264,能動,1
265,創出,1
266,不透明,1
267,期間,1
268,独自,1
269,圧倒的,1
270,自己,1
271,主張,1
272,自ら,1
273,基本,1
274,尊重,1
275,目的,1
276,動向,1
277,導体,1
278,鉱物,1
279,物資,1
280,じん,1
281,リード,1
282,公平,1
283,透明,1
284,促進,1
285,サイバーセキュリティ,1
286,対策,1
287,強まる,1
288,前提,1
289,広がり,1
290,バラ,1
291,ンス,1
292,背景,1
293,激しい,1
294,見渡す,1
295,縮まる,1
296,後発,1
297,核軍縮,1
298,組織,1
299,恩恵,1
300,犯罪,1
301,喫緊,1
302,広い,1
303,浸透,1
304,大国,1
305,前述,1
306,きる,1
307,台頭,1
308,見合う,1
309,デカップリング,1
310,現実,1
311,発言,1
312,様相,1
313,以来,1
314,ウクラ,1
315,イナ,1
316,開始,1
317,領土,1
318,一体,1
319,武力,1
320,一般,1
321,禁止,1
322,いう,1
323,憲章,1
324,あからさま,1
325,踏みにじる,1
326,発生,1
327,ハマス,1
328,行為,1
329,長い,1
330,懸命,1
331,イスラエル,1
332,以降,1
333,犠牲,1
334,築き上げる,1
335,ガザ,1
336,めぐる,1
337,暴挙,1
338,構造,1
339,化す,1
340,許す,1
341,人道,1
342,繰る,1
343,返る,1
344,果たす,1
345,言う,1
346,難い,1
347,断固,1
348,永続,1
349,今日,1
350,みな,1
351,隔絶,1
352,別個,1
353,事象,1
354,けた,1
355,阻害,1
356,北朝,1
357,大陸,1
358,ミサ,1
359,大統領,1
360,イル,1
361,発射,1
362,含める,1
363,せん,1
364,ほる,1
365,尖閣諸島,1
366,複数,1
367,東シナ海,1
368,南シナ海,1
369,事例,1
370,一連,1
371,乗り越える,1
372,克服,1
373,戦後,1
374,台湾,1
375,共有,1
376,ナン,1
377,海峡,1
378,兵士,1
379,参加,1
380,述べる,1
381,サイル,1
382,弾薬,1
383,調達,1
384,明るみ,1
385,悪化,1
386,取る,1
387,巻く,1
388,与える,1
